customer_id,name,email,country,industry,acquisition_channel,plan,support_tier,signup_date,tenure_days,contract_length_months,team_size,monthly_spend_usd,logins_per_month,features_used,support_tickets_last_90d,days_since_last_login,nps_score,churned,churn_date
CUST-00068,Mason David,smithnicholas@example.net,US,Other,Email,Free,Email,2024-03-17,290,1,5.0,0.0,7,17,2,23,8.0,0,
CUST-00069,Debbie Cook,sandrahoward@example.com,US,Finance,Organic,Basic,Dedicated,2021-04-19,1353,1,2.0,31.54,12,15,1,34,8.0,1,2024-03-22
CUST-00070,Troy Jones,jeffery29@example.net,UK,Education,Referral,Basic,None,2024-12-11,21,1,500.0,28.71,10,16,1,1,6.0,0,
CUST-00071,Dr. Donna Campbell,brianneal@example.com,Australia,,Referral,Basic,Email,2024-02-02,334,12,1.0,22.02,11,5,0,17,6.0,0,
CUST-00072,Courtney Torres,lovebrittany@example.com,Germany,Finance,Referral,Free,Priority,2021-10-18,1171,1,2.0,0.0,4,17,1,7,,0,
CUST-00073,Alex Barrett,teresaknight@example.com,US,Finance,Paid Search,Free,Email,2021-01-09,1453,1,5.0,0.0,6,7,0,5,10.0,1,2023-10-31
CUST-00074,Ashley Jackson,tammycooper@example.org,India,Finance,Organic,Free,None,2024-04-05,271,1,5.0,0.0,4,15,0,14,,0,
CUST-00075,Diane Lewis,hwalker@example.net,India,Finance,Referral,Enterprise,Dedicated,2023-10-30,429,1,1.0,426.17,14,17,0,3,6.0,0,
CUST-00076,Jennifer Alvarez,michelle65@example.org,India,Finance,Social,Basic,Email,2023-12-01,397,12,1.0,32.26,2,12,2,0,,0,
CUST-00077,Jennifer Oneal,swansonkaitlyn@example.com,US,Healthcare,Email,Basic,Email,2024-02-01,335,1,2.0,36.14,9,11,2,2,7.0,1,2024-10-28
CUST-00078,Kayla Shields,kimberly84@example.net,Germany,,Organic,Pro,None,2021-04-19,1353,1,10.0,95.54,15,19,0,2,9.0,0,
CUST-00079,John Lang,lewisantonio@example.org,Brazil,Education,Organic,Free,Email,2022-06-08,938,12,,0.0,8,11,1,0,0.0,0,
CUST-00080,Barbara James,kathryn23@example.com,Australia,Retail,Email,Enterprise,Email,2021-06-19,1292,1,10.0,384.3,10,2,0,4,,0,
CUST-00081,Kelly Garcia,teresa41@example.net,US,Finance,Referral,Pro,None,2024-06-14,201,1,10.0,102.28,4,15,2,7,5.0,1,2024-10-20
CUST-00082,Jose Lowe,harriskristin@example.net,US,Retail,Social,Free,None,2023-06-30,551,12,5.0,0.0,5,5,2,15,4.0,0,
CUST-00083,Claudia Dawson,adamhill@example.com,Germany,Finance,Organic,Basic,Priority,2022-04-29,978,12,50.0,30.54,3,18,0,4,,0,
CUST-00084,Natasha Cruz,shaynes@example.com,India,Finance,Referral,Pro,None,2021-04-03,1369,24,,109.26,5,16,3,2,9.0,0,
CUST-00085,Brandon Garner,sanchezbrianna@example.net,Germany,SaaS,Referral,Enterprise,None,2022-03-31,1007,12,2.0,341.84,10,4,0,3,10.0,0,
CUST-00086,Matthew Hatfield,htravis@example.org,Germany,SaaS,Referral,Basic,Email,2022-04-20,987,24,10.0,24.63,4,10,0,26,1.0,0,
CUST-00087,Donna Woods,imoore@example.net,US,SaaS,Paid Search,Pro,Priority,2023-12-02,396,1,10.0,80.25,10,2,1,2,7.0,0,
CUST-00088,Brandon Fischer,melissa70@example.com,Canada,Finance,Organic,Free,None,2023-07-20,531,12,5.0,0.0,16,15,1,25,3.0,0,
CUST-00089,Brian Miller,russellangela@example.net,India,,Referral,Enterprise,Email,2024-07-19,166,12,1.0,658.36,9,4,0,7,8.0,0,
CUST-00090,Joshua Davis,goodwinelizabeth@example.org,UK,SaaS,Organic,Free,None,2022-11-21,772,24,1.0,0.0,5,16,0,32,8.0,0,
CUST-00091,Tammy Blake,brady01@example.com,Australia,Finance,Paid Search,Enterprise,None,2021-06-24,1287,12,25.0,429.57,3,7,1,6,,0,
CUST-00092,Jason Shelton,elizabeth02@example.net,Brazil,Retail,Email,Pro,None,2023-11-08,420,24,1.0,116.95,19,12,0,2,2.0,0,
CUST-00093,Trevor Russo,ubarnes@example.com,US,Healthcare,Paid Search,Pro,Priority,2024-01-16,351,12,10.0,90.05,7,3,0,9,9.0,0,
CUST-00094,David Berry,nmelendez@example.net,Germany,Other,Social,Basic,None,2023-03-31,642,12,1.0,30.21,4,17,2,10,8.0,0,
CUST-00095,Dana Chavez,kylebrown@example.com,US,Retail,Organic,Free,None,2024-01-31,336,24,,0.0,13,9,3,12,0.0,1,2024-11-20
CUST-00096,Michael Pena,evansamy@example.net,Australia,Healthcare,Referral,Free,Email,2022-12-22,741,24,2.0,0.0,12,8,1,6,8.0,0,
CUST-00097,Travis Mitchell,ojames@example.org,France,SaaS,Email,Free,Priority,2023-02-03,698,12,1.0,0.0,5,6,3,0,,0,
CUST-00098,Christine Crawford,howenathan@example.net,Canada,SaaS,Organic,Free,Email,2022-09-17,837,1,,0.0,2,15,3,11,7.0,0,
CUST-00099,Jessica Olson,fowlerlaura@example.com,Australia,Retail,Organic,Pro,Email,2021-02-07,1424,1,10.0,95.45,9,10,0,32,6.0,0,
CUST-00100,Richard Smith,simmonsdavid@example.com,UK,SaaS,Paid Search,Basic,None,2021-06-07,1304,1,,23.07,14,6,3,37,7.0,0,
CUST-00101,Dawn Ramirez,susan58@example.org,India,Finance,Organic,Free,Email,2021-02-15,1416,1,25.0,0.0,4,15,0,10,8.0,1,2023-04-18
CUST-00102,Jeremy Williams,tcontreras@example.com,Germany,Healthcare,Referral,Enterprise,Email,2023-07-19,532,1,1.0,507.73,8,14,1,0,,0,
CUST-00103,Dr. Jeffrey Johnson,anthony37@example.com,US,Healthcare,Email,Pro,Email,2022-04-04,1003,12,50.0,101.76,6,19,2,1,10.0,0,
CUST-00104,Cassandra Ray,zmiller@example.com,Canada,SaaS,Paid Search,Enterprise,Email,2023-01-13,719,12,500.0,404.87,10,13,0,21,4.0,0,
CUST-00105,Michelle Martinez,tnielsen@example.org,Australia,Retail,Organic,Enterprise,Email,2024-08-18,136,1,1.0,573.25,2,14,0,21,8.0,0,
CUST-00106,Donna Wolfe,gillespiejennifer@example.org,UK,Finance,Paid Search,Free,None,2021-12-30,1098,12,100.0,0.0,4,3,0,35,4.0,1,2022-09-30
CUST-00107,Ryan Stanton,ortizallison@example.org,India,,Referral,Basic,Email,2022-08-23,862,1,2.0,35.75,10,4,1,9,4.0,0,
CUST-00108,Lauren Ramos,bgardner@example.net,India,SaaS,Organic,Pro,None,2024-01-09,358,24,10.0,90.13,9,14,0,23,,0,
CUST-00109,Joel Swanson,mlopez@example.org,US,Other,Referral,Pro,Priority,2021-12-01,1127,1,2.0,104.38,8,14,0,20,,0,
CUST-00110,Jamie Hogan,jillianwiggins@example.net,Brazil,Finance,Referral,Free,Dedicated,2021-04-23,1349,12,5.0,0.0,5,8,1,10,3.0,0,
CUST-00111,Daniel Young,tmyers@example.org,US,Finance,Referral,Pro,Dedicated,2022-02-28,1038,24,5.0,76.6,3,10,0,18,10.0,0,
CUST-00112,Joseph Nelson,hillkathryn@example.com,US,Healthcare,Organic,Free,Priority,2021-08-24,1226,1,5.0,0.0,13,9,1,1,5.0,0,
CUST-00113,Matthew Austin,kaitlyn51@example.org,US,,Referral,Free,Email,2024-09-19,104,12,10.0,0.0,5,14,1,12,6.0,0,
CUST-00114,Jeffrey Poole,stephanie46@example.org,India,SaaS,Organic,Basic,Priority,2024-03-25,282,24,10.0,31.65,2,8,0,36,,0,
CUST-00115,William Harrison,millerjillian@example.com,Canada,Finance,Organic,Basic,Email,2023-07-14,537,1,5.0,18.11,4,11,2,2,8.0,0,
CUST-00116,Joseph Simmons,susan79@example.com,US,Retail,Social,Basic,Email,2024-06-26,189,24,500.0,26.35,8,10,0,16,7.0,0,
CUST-00117,Cynthia Gomez,heatherbrown@example.com,UK,Other,Referral,Free,Email,2024-03-19,288,12,100.0,0.0,5,18,2,4,6.0,0,
CUST-00118,Jasmine Young,coreyallen@example.net,France,Healthcare,Organic,Pro,Email,2021-09-30,1189,1,100.0,90.52,12,4,0,20,,0,
CUST-00119,Stacey Wood,tara75@example.com,US,SaaS,Organic,Basic,Priority,2024-07-27,158,1,50.0,15.88,6,4,3,14,8.0,1,2024-11-03
CUST-00120,Ross Joyce,shorttheodore@example.net,India,Finance,Organic,Free,Email,2023-02-27,674,12,2.0,0.0,10,12,1,31,7.0,0,
CUST-00121,Brittany Nguyen,tcooke@example.com,India,Retail,Organic,Pro,Email,2024-03-24,283,24,2.0,108.18,9,18,3,14,6.0,0,
CUST-00122,Dawn Chavez,williamskevin@example.net,Germany,Healthcare,Organic,Enterprise,Dedicated,2024-08-01,153,1,2.0,360.94,9,8,0,6,9.0,0,
CUST-00123,Sarah Snyder,john63@example.org,Brazil,Finance,Organic,Pro,None,2022-04-10,997,12,500.0,78.28,3,3,0,0,8.0,0,
CUST-00124,Dustin Gibson,mooresara@example.org,UK,Other,Paid Search,Pro,Email,2021-06-10,1301,1,1.0,72.03,7,18,2,18,4.0,0,
CUST-00125,John Miller,davidmcgee@example.net,Brazil,Education,Referral,Pro,Dedicated,2021-11-29,1129,12,5.0,65.65,5,7,1,6,5.0,0,
CUST-00126,Casey Mayo,bakerblake@example.org,Canada,Finance,Referral,Basic,Email,2022-09-16,838,12,1.0,33.74,7,1,2,13,9.0,0,
CUST-00127,John Vincent,shepherdjennifer@example.org,Canada,Finance,Referral,Free,Email,2024-04-09,267,12,2.0,0.0,9,13,0,1,,0,
CUST-00128,Jenny Russell,palexander@example.com,US,Other,Organic,Basic,None,2024-06-10,205,12,2.0,28.29,5,3,2,26,8.0,0,
CUST-00129,Anthony Andrews,dennisjasmine@example.org,India,Retail,Email,Basic,Email,2021-01-11,1451,24,10.0,26.62,21,3,2,6,,0,
CUST-00130,Kristina Turner,lbrown@example.org,UK,SaaS,Social,Basic,Priority,2023-01-16,716,1,1.0,24.87,5,15,0,30,7.0,0,
CUST-00131,Troy Maxwell,nroberts@example.org,US,Retail,Social,Pro,Email,2022-09-02,852,12,,93.98,3,19,3,14,5.0,0,
CUST-00132,Zachary Chapman,justinwatson@example.org,US,SaaS,Social,Basic,Email,2021-11-21,1137,1,25.0,22.25,3,4,2,1,10.0,0,
CUST-00133,Jennifer Dennis,kevin11@example.org,France,Finance,Email,Free,None,2021-06-25,1286,12,,0.0,2,13,1,10,,1,2024-01-06
CUST-00134,Joshua Sampson,osharp@example.org,Germany,Finance,Paid Search,Free,None,2022-05-08,969,12,1.0,0.0,12,13,0,28,10.0,0,
CUST-00135,Veronica Mcclure,jamie50@example.net,Canada,Finance,Organic,Pro,Dedicated,2024-10-08,85,12,,89.14,6,15,2,19,4.0,0,
CUST-00136,Andrew Mcbride,andrew89@example.org,India,SaaS,Referral,Free,Email,2022-04-17,990,12,25.0,0.0,8,19,1,6,9.0,0,
CUST-00137,Jean Pitts,campbellamy@example.com,US,Finance,Referral,Pro,Email,2023-01-28,704,12,1.0,89.2,16,16,2,37,7.0,0,
CUST-00138,Thomas Jacobs,jonescaitlin@example.com,Australia,Retail,Referral,Basic,None,2023-10-24,435,24,25.0,26.39,15,7,2,3,8.0,0,
CUST-00139,Jessica Nichols,lisahayes@example.org,US,Finance,Paid Search,Basic,Priority,2022-06-15,931,1,25.0,44.38,7,3,2,5,4.0,0,
CUST-00140,Nancy Walker,shawn49@example.com,India,Finance,Organic,Basic,Dedicated,2024-11-19,43,1,5.0,35.8,13,2,2,16,8.0,0,
CUST-00141,Nicole Hughes,rachelarnold@example.com,India,Retail,Paid Search,Pro,Email,2024-11-06,56,12,1.0,104.41,6,18,1,3,10.0,0,
CUST-00142,Mr. Marc Young,juliekelly@example.com,Germany,SaaS,Email,Basic,None,2022-01-03,1094,12,10.0,30.16,21,11,0,8,5.0,0,
CUST-00143,Lauren Ballard,kingemily@example.org,Canada,SaaS,Referral,Pro,Email,2022-12-27,736,12,25.0,118.07,8,1,1,15,5.0,0,
CUST-00144,Brenda Garcia,meverett@example.net,UK,Education,Paid Search,Basic,Priority,2022-03-16,1022,24,,23.93,0,16,1,12,2.0,0,
CUST-00145,Julie Jones,cleonard@example.org,Germany,Other,Organic,Basic,Email,2022-02-20,1046,12,10.0,22.3,6,17,1,2,,0,
CUST-00146,Angela Wilkins,randymolina@example.com,India,Finance,Paid Search,Pro,Priority,2021-02-23,1408,24,5.0,104.71,2,16,2,11,7.0,0,
CUST-00147,Linda Clay,katherinewright@example.org,Germany,SaaS,Social,Pro,Email,2023-06-09,572,12,10.0,86.74,8,10,0,10,9.0,0,
CUST-00148,Joann Moore,preston50@example.com,UK,Healthcare,Referral,Pro,Priority,2023-01-04,728,1,5.0,103.82,1,17,1,9,5.0,0,
CUST-00149,James Thompson,jsaunders@example.net,Germany,Finance,Social,Pro,Email,2021-03-17,1386,12,2.0,62.94,9,3,1,20,8.0,0,
CUST-00150,Samantha Palmer,vargasjeremiah@example.org,India,Education,Paid Search,Pro,None,2022-02-11,1055,24,50.0,119.89,13,18,1,2,7.0,0,
CUST-00151,Joshua Wu,shannon11@example.com,UK,,Referral,Pro,Email,2024-08-19,135,1,25.0,109.08,7,19,0,16,5.0,0,
CUST-00152,James Osborne,edwardwhitaker@example.net,US,SaaS,Organic,Pro,None,2021-12-16,1112,24,2.0,76.49,22,14,1,17,7.0,0,
CUST-00153,Richard Andrews,leahsmith@example.org,Canada,Finance,Referral,Pro,Dedicated,2021-07-31,1250,12,5.0,76.82,2,2,0,15,,0,
CUST-00154,Tracie Young,mike83@example.net,India,Retail,Paid Search,Pro,Priority,2022-12-16,747,12,10.0,124.08,12,12,1,8,8.0,1,2024-04-27
CUST-00155,James Taylor,lindsay82@example.net,US,Retail,Paid Search,Pro,Priority,2024-12-10,22,12,25.0,87.94,4,11,0,6,2.0,0,
CUST-00156,Gabriella Oneal,emilymeadows@example.net,US,SaaS,Referral,Pro,Email,2021-12-20,1108,12,10.0,86.49,6,17,0,6,8.0,0,
CUST-00157,Yolanda Erickson,velezwalter@example.org,US,Healthcare,Email,Free,None,2023-09-09,480,12,5.0,0.0,4,6,2,15,4.0,0,
CUST-00158,Elizabeth Larsen,barrettlindsay@example.com,UK,Education,Organic,Pro,Priority,2024-01-17,350,1,100.0,93.74,3,19,1,8,10.0,0,
CUST-00159,Mr. Adrian Leonard,grantsarah@example.net,Germany,Other,Social,Pro,Email,2021-12-13,1115,24,25.0,95.58,14,13,1,4,9.0,0,
CUST-00160,Roberta Banks,becky67@example.net,Australia,Finance,Organic,Free,None,2023-11-30,398,12,1.0,0.0,9,7,3,11,6.0,1,2024-03-28
CUST-00161,Becky Singh,cruzteresa@example.net,Canada,Healthcare,Paid Search,Pro,Email,2022-06-21,925,24,10.0,78.01,6,11,4,21,6.0,0,
CUST-00162,Gary Davies,dakota85@example.org,France,SaaS,Organic,Free,None,2023-07-13,538,12,5.0,0.0,9,7,1,0,,0,
CUST-00163,David Kennedy,belldaniel@example.net,UK,Healthcare,Paid Search,Basic,Email,2023-07-14,537,12,25.0,23.68,7,13,0,42,8.0,0,
CUST-00164,Bryan Williamson,gravesmichael@example.org,India,Retail,Paid Search,Pro,Email,2023-02-22,679,12,1.0,114.1,9,13,1,1,6.0,1,2023-04-19
CUST-00165,Rebecca Martin,brandi96@example.com,Germany,Finance,Organic,Free,None,2021-05-12,1330,12,5.0,0.0,12,1,2,8,8.0,0,
CUST-00166,Jessica Brandt,lindanielle@example.com,Brazil,Retail,Paid Search,Pro,Dedicated,2024-05-04,242,1,,115.22,4,19,0,9,,1,2024-07-26
CUST-00167,John Henson,yhall@example.org,Canada,Retail,Email,Pro,None,2022-04-14,993,24,1.0,99.56,11,19,2,1,3.0,0,
CUST-00168,Jason Kennedy,ewilliams@example.org,US,SaaS,Organic,Basic,None,2021-09-30,1189,12,5.0,32.02,9,15,2,29,6.0,0,
CUST-00169,William Lindsey,rossdaniel@example.com,Canada,Retail,Social,Free,None,2021-03-01,1402,24,10.0,0.0,10,14,3,7,,0,
CUST-00170,Robert Edwards,hvilla@example.com,UK,SaaS,Paid Search,Basic,Priority,2023-05-13,599,24,5.0,23.91,4,3,1,1,8.0,0,
CUST-00171,Austin Walters,michaelhenry@example.com,Canada,SaaS,Referral,Pro,Email,2023-09-17,472,12,10.0,96.72,12,4,2,14,1.0,0,
CUST-00172,Shawna Andrews,sandovalsusan@example.net,US,Other,Organic,Enterprise,Email,2021-01-25,1437,12,10.0,461.7,1,7,1,13,9.0,0,
CUST-00173,Sarah Matthews,robertmcdonald@example.net,US,Healthcare,Organic,Pro,None,2023-01-18,714,12,10.0,85.59,7,1,1,39,8.0,0,
CUST-00174,Brian Chandler,stephaniemitchell@example.org,India,Healthcare,Organic,Basic,None,2021-11-27,1131,12,5.0,33.64,0,19,1,6,4.0,1,2024-12-14
CUST-00175,Austin Mccarty,osmith@example.net,US,Other,Organic,Pro,Email,2023-07-31,520,12,1.0,96.36,7,3,0,3,7.0,0,
CUST-00176,Jenny Taylor,richard61@example.net,India,Other,Organic,Basic,Priority,2021-09-12,1207,12,2.0,23.23,7,15,2,0,7.0,1,2022-05-17
