customer_id,name,email,country,industry,acquisition_channel,plan,support_tier,signup_date,tenure_days,contract_length_months,team_size,monthly_spend_usd,logins_per_month,features_used,support_tickets_last_90d,days_since_last_login,nps_score,churned,churn_date,nps_missing,tenure_months,is_annual_contract,engagement_score
cust-00026,dylan elliott,emilyestrada@example.org,us,education,paid search,basic,email,2024-02-21,315,12,2.0,35.4,8,7,1,4,8.0,0,,0,10.5,1,39.83
cust-00027,dana young,sharonwhite@example.net,australia,retail,email,pro,email,2021-10-19,1170,12,5.0,91.22,8,11,0,1,4.0,0,,0,39.0,1,37.83
cust-00028,jeffrey gonzales,samantha44@example.net,brazil,saas,referral,pro,,2023-01-21,711,1,100.0,111.8,13,17,3,5,5.0,0,,0,23.7,0,57.17
cust-00029,michael brown,janet25@example.org,us,finance,referral,basic,priority,2023-05-15,597,12,5.0,22.65,6,14,0,5,7.0,0,,0,19.9,1,45.0
cust-00030,karen lee,robertgreen@example.org,canada,retail,referral,pro,,2021-03-09,1394,24,5.0,106.75,3,13,0,19,5.0,0,,0,46.5,1,34.5
cust-00031,hunter martinez,dawnhardy@example.net,us,finance,organic,free,email,2023-06-07,574,24,1.0,0.0,5,15,0,19,8.0,0,,0,19.1,1,46.83
cust-00032,nicholas wells,jasminedavis@example.org,france,retail,paid search,basic,email,2021-09-06,1213,12,50.0,30.92,7,9,0,19,4.0,1,2023-05-23,0,40.4,1,33.17
cust-00033,jennifer juarez,ywilliamson@example.org,germany,saas,social,free,email,2021-04-05,1367,1,25.0,0.0,6,3,0,10,7.0,1,2024-09-20,0,45.6,0,28.5
cust-00034,kenneth reynolds,xmendoza@example.org,brazil,other,organic,free,email,2024-10-17,76,12,5.0,0.0,6,13,5,4,6.0,0,,0,2.5,1,41.5
cust-00035,rebecca douglas,martinezwilliam@example.org,france,unknown,organic,free,,2024-11-10,52,12,10.0,0.0,7,13,0,6,7.0,0,,0,1.7,1,45.17
cust-00036,gabriel cochran,alirussell@example.com,uk,other,organic,pro,email,2024-03-26,281,24,5.0,97.8,12,9,0,4,5.0,0,,0,9.4,1,43.5
cust-00037,lisa ryan,martinmichelle@example.net,us,other,paid search,basic,email,2022-03-21,1017,1,25.0,34.15,9,18,4,10,5.0,1,2023-01-31,0,33.9,0,52.0
cust-00038,jennifer pearson,lloyddonna@example.org,us,education,email,pro,dedicated,2021-05-23,1319,12,10.0,74.65,4,5,1,33,8.0,0,,0,44.0,1,30.17
cust-00039,alexander stevens,hgomez@example.org,us,finance,organic,free,priority,2023-09-26,463,1,10.0,0.0,6,11,3,4,2.0,0,,0,15.4,0,30.5
cust-00040,robert spencer,patricia03@example.org,us,finance,paid search,basic,dedicated,2022-10-05,819,12,5.0,24.13,10,2,0,7,6.0,0,,0,27.3,1,31.67
cust-00041,melissa moore,robinsonloretta@example.com,india,education,organic,basic,priority,2021-06-28,1283,12,5.0,32.23,5,17,2,12,10.0,0,,0,42.8,1,53.83
cust-00042,angela buchanan,harperjohn@example.net,france,unknown,email,pro,email,2022-12-24,739,12,2.0,86.46,5,4,0,22,6.0,0,,0,24.6,1,26.33
cust-00043,christina perez,reyesscott@example.com,germany,healthcare,organic,basic,,2021-02-20,1411,12,100.0,17.4,8,18,2,3,7.0,1,2022-06-23,0,47.0,1,54.33
cust-00044,charles benjamin,colenathan@example.net,us,finance,paid search,pro,priority,2024-08-20,134,12,100.0,79.46,16,8,1,3,8.0,0,,0,4.5,1,54.67
cust-00045,john fry,rhernandez@example.net,india,healthcare,referral,pro,email,2022-01-13,1084,1,25.0,105.78,15,19,0,25,8.0,0,,0,36.1,0,69.5
cust-00046,wendy morgan,melanieyoung@example.net,canada,healthcare,referral,pro,email,2023-08-26,494,1,100.0,93.66,8,12,0,1,8.0,0,,0,16.5,0,47.33
cust-00047,gary douglas,laurielove@example.net,us,retail,paid search,free,email,2022-04-01,1006,24,10.0,0.0,8,11,3,11,10.0,0,,0,33.5,1,49.83
cust-00048,megan johnson,sanchezjames@example.net,canada,finance,paid search,free,email,2023-01-30,702,1,2.0,0.0,2,16,2,23,1.0,1,2024-05-15,0,23.4,0,29.33
cust-00049,sean lam,michaelmerritt@example.net,germany,education,paid search,pro,email,2023-03-10,663,1,25.0,80.51,2,5,1,30,10.0,0,,0,22.1,0,30.83
cust-00050,nina golden,velasqueztiffany@example.com,us,saas,organic,free,email,2021-09-27,1192,1,2.0,0.0,9,3,3,0,10.0,0,,0,39.7,0,39.5
cust-00051,john dominguez,denisesmith@example.com,germany,other,organic,pro,,2024-11-16,46,1,5.0,105.86,14,12,1,5,9.0,0,,0,1.5,0,59.33
cust-00052,carlos mcdonald,michaelgreene@example.com,germany,finance,paid search,basic,priority,2024-02-06,330,12,2.0,24.11,8,15,2,3,7.0,0,,0,11.0,1,49.83
cust-00053,joshua barron,cynthia20@example.org,us,education,organic,enterprise,,2024-10-03,90,12,5.0,553.76,6,16,3,10,9.0,0,,0,3.0,1,52.0
cust-00054,amanda nunez,trevinoaustin@example.org,brazil,finance,organic,pro,,2024-07-30,155,24,10.0,107.87,8,13,1,12,4.0,0,,0,5.2,1,40.83
cust-00055,donna ford,omiller@example.com,india,unknown,referral,enterprise,email,2023-05-23,589,12,1.0,577.11,6,7,2,100,9.0,0,,0,19.6,1,38.5
cust-00056,shannon smith,nburton@example.org,canada,saas,email,basic,priority,2024-09-07,116,1,1.0,25.75,10,15,1,8,4.0,0,,0,3.9,0,47.17
cust-00057,lauren davis,wilkinsonsteven@example.com,germany,education,referral,pro,email,2021-05-10,1332,12,10.0,72.79,2,3,4,9,9.0,0,,0,44.4,1,25.83
cust-00058,terry schwartz,nmoran@example.com,uk,saas,organic,basic,email,2021-10-14,1175,12,25.0,28.15,11,12,3,6,8.0,0,,0,39.2,1,52.33
cust-00059,haley west,thompsonkyle@example.com,canada,other,organic,basic,email,2021-03-08,1395,24,10.0,27.67,9,8,0,1,2.0,0,,0,46.5,1,31.0
cust-00060,nicole herrera,jennifer96@example.org,germany,other,email,pro,email,2022-04-20,987,12,1.0,61.4,2,12,0,4,9.0,0,,0,32.9,1,39.33
cust-00061,heather garcia,brian10@example.com,us,retail,organic,pro,dedicated,2022-07-22,894,1,5.0,103.46,2,18,1,3,7.0,0,,0,29.8,0,44.33
cust-00062,phillip hughes,susanhardy@example.net,germany,unknown,organic,enterprise,dedicated,2022-02-01,1065,12,25.0,450.42,10,3,2,19,8.0,0,,0,35.5,1,37.17
cust-00063,david carrillo,alexander14@example.net,india,education,referral,pro,email,2024-04-24,252,12,10.0,94.73,10,12,2,9,5.0,0,,0,8.4,1,44.67
cust-00064,edward williams,donaldweiss@example.net,germany,retail,referral,basic,email,2022-06-05,941,12,1.0,22.68,5,2,0,4,9.0,0,,0,31.4,1,29.33
cust-00065,thomas andrade,jose39@example.net,us,education,referral,basic,priority,2022-02-15,1051,1,100.0,31.43,5,14,1,8,7.0,0,,0,35.0,0,43.33
cust-00066,keith davis,michaelvillanueva@example.net,australia,saas,organic,pro,,2023-03-04,669,12,2.0,95.13,4,14,0,2,6.0,0,,0,22.3,1,39.67
cust-00067,alexis watts,coryhunter@example.org,us,saas,organic,free,email,2021-07-25,1256,1,2.0,0.0,7,4,3,2,7.0,0,,0,41.9,0,31.67
cust-00068,mason david,smithnicholas@example.net,us,other,email,free,email,2024-03-17,290,1,5.0,0.0,7,17,2,23,8.0,0,,0,9.7,0,53.17
cust-00069,debbie cook,sandrahoward@example.com,us,finance,organic,basic,dedicated,2021-04-19,1353,1,2.0,31.54,12,15,1,34,8.0,1,2024-03-22,0,45.1,0,58.5
cust-00070,troy jones,jeffery29@example.net,uk,education,referral,basic,,2024-12-11,21,1,500.0,28.71,10,16,1,1,6.0,0,,0,0.7,0,52.67
cust-00071,dr. donna campbell,brianneal@example.com,australia,unknown,referral,basic,email,2024-02-02,334,12,1.0,22.02,11,5,0,17,6.0,0,,0,11.1,1,37.83
cust-00072,courtney torres,lovebrittany@example.com,germany,finance,referral,free,priority,2021-10-18,1171,1,2.0,0.0,4,17,1,7,7.0,0,,0,39.0,0,46.17
cust-00073,alex barrett,teresaknight@example.com,us,finance,paid search,free,email,2021-01-09,1453,1,5.0,0.0,6,7,0,5,10.0,1,2023-10-31,0,48.4,0,40.5
cust-00074,ashley jackson,tammycooper@example.org,india,finance,organic,free,,2024-04-05,271,1,5.0,0.0,4,15,0,14,7.0,0,,0,9.0,0,43.17
cust-00075,diane lewis,hwalker@example.net,india,finance,referral,enterprise,dedicated,2023-10-30,429,1,1.0,426.17,14,17,0,3,6.0,0,,0,14.3,0,60.83
cust-00076,jennifer alvarez,michelle65@example.org,india,finance,social,basic,email,2023-12-01,397,12,1.0,32.26,2,12,2,0,7.0,0,,0,13.2,1,35.33
cust-00077,jennifer oneal,swansonkaitlyn@example.com,us,healthcare,email,basic,email,2024-02-01,335,1,2.0,36.14,9,11,2,2,7.0,1,2024-10-28,0,11.2,0,45.5
cust-00078,kayla shields,kimberly84@example.net,germany,unknown,organic,pro,,2021-04-19,1353,1,10.0,95.54,15,19,0,2,9.0,0,,0,45.1,0,71.5
cust-00079,john lang,lewisantonio@example.org,brazil,education,organic,free,email,2022-06-08,938,12,5.0,0.0,8,11,1,0,0.0,0,,0,31.3,1,29.83
cust-00080,barbara james,kathryn23@example.com,australia,retail,email,enterprise,email,2021-06-19,1292,1,10.0,384.3,10,2,0,4,7.0,0,,0,43.1,0,33.67
cust-00081,kelly garcia,teresa41@example.net,us,finance,referral,pro,,2024-06-14,201,1,10.0,102.28,4,15,2,7,5.0,1,2024-10-20,0,6.7,0,39.17
cust-00082,jose lowe,harriskristin@example.net,us,retail,social,free,,2023-06-30,551,12,5.0,0.0,5,5,2,15,4.0,0,,0,18.4,1,23.83
cust-00083,claudia dawson,adamhill@example.com,germany,finance,organic,basic,priority,2022-04-29,978,12,50.0,30.54,3,18,0,4,7.0,0,,0,32.6,1,46.0
cust-00084,natasha cruz,shaynes@example.com,india,finance,referral,pro,,2021-04-03,1369,24,5.0,109.26,5,16,3,2,9.0,0,,0,45.6,1,50.33
cust-00085,brandon garner,sanchezbrianna@example.net,germany,saas,referral,enterprise,,2022-03-31,1007,12,2.0,341.84,10,4,0,3,10.0,0,,0,33.6,1,42.67
cust-00086,matthew hatfield,htravis@example.org,germany,saas,referral,basic,email,2022-04-20,987,24,10.0,24.63,4,10,0,26,1.0,0,,0,32.9,1,23.67
cust-00087,donna woods,imoore@example.net,us,saas,paid search,pro,priority,2023-12-02,396,1,10.0,80.25,10,2,1,2,7.0,0,,0,13.2,0,33.67
cust-00088,brandon fischer,melissa70@example.com,canada,finance,organic,free,,2023-07-20,531,12,5.0,0.0,16,15,1,25,3.0,0,,0,17.7,1,55.17
cust-00089,brian miller,russellangela@example.net,india,unknown,referral,enterprise,email,2024-07-19,166,12,1.0,658.36,9,4,0,7,8.0,0,,0,5.5,1,37.0
cust-00090,joshua davis,goodwinelizabeth@example.org,uk,saas,organic,free,,2022-11-21,772,24,1.0,0.0,5,16,0,32,8.0,0,,0,25.7,1,48.33
cust-00091,tammy blake,brady01@example.com,australia,finance,paid search,enterprise,,2021-06-24,1287,12,25.0,429.57,3,7,1,6,7.0,0,,0,42.9,1,29.5
cust-00092,jason shelton,elizabeth02@example.net,brazil,retail,email,pro,,2023-11-08,420,24,1.0,116.95,19,12,0,2,2.0,0,,0,14.0,1,53.67
cust-00093,trevor russo,ubarnes@example.com,us,healthcare,paid search,pro,priority,2024-01-16,351,12,10.0,90.05,7,3,0,9,9.0,0,,0,11.7,1,34.17
cust-00094,david berry,nmelendez@example.net,germany,other,social,basic,,2023-03-31,642,12,1.0,30.21,4,17,2,10,8.0,0,,0,21.4,1,48.17
cust-00095,dana chavez,kylebrown@example.com,us,retail,organic,free,,2024-01-31,336,24,5.0,0.0,13,9,3,12,0.0,1,2024-11-20,0,11.2,1,35.17
cust-00096,michael pena,evansamy@example.net,australia,healthcare,referral,free,email,2022-12-22,741,24,2.0,0.0,12,8,1,6,8.0,0,,0,24.7,1,48.0
cust-00097,travis mitchell,ojames@example.org,france,saas,email,free,priority,2023-02-03,698,12,1.0,0.0,5,6,3,0,7.0,0,,0,23.3,1,31.33
cust-00098,christine crawford,howenathan@example.net,canada,saas,organic,free,email,2022-09-17,837,1,5.0,0.0,2,15,3,11,7.0,0,,0,27.9,0,39.83
cust-00099,jessica olson,fowlerlaura@example.com,australia,retail,organic,pro,email,2021-02-07,1424,1,10.0,95.45,9,10,0,32,6.0,0,,0,47.5,0,42.0
cust-00100,richard smith,simmonsdavid@example.com,uk,saas,paid search,basic,,2021-06-07,1304,1,5.0,23.07,14,6,3,37,7.0,0,,0,43.5,0,46.33
cust-00101,dawn ramirez,susan58@example.org,india,finance,organic,free,email,2021-02-15,1416,1,25.0,0.0,4,15,0,10,8.0,1,2023-04-18,0,47.2,0,45.17
cust-00102,jeremy williams,tcontreras@example.com,germany,healthcare,referral,enterprise,email,2023-07-19,532,1,1.0,507.73,8,14,1,0,7.0,0,,0,17.7,0,48.33
cust-00103,dr. jeffrey johnson,anthony37@example.com,us,healthcare,email,pro,email,2022-04-04,1003,12,50.0,101.76,6,19,2,1,10.0,0,,0,33.4,1,58.5
cust-00104,cassandra ray,zmiller@example.com,canada,saas,paid search,enterprise,email,2023-01-13,719,12,500.0,404.87,10,13,0,21,4.0,0,,0,24.0,1,44.17
cust-00105,michelle martinez,tnielsen@example.org,australia,retail,organic,enterprise,email,2024-08-18,136,1,1.0,573.25,2,14,0,21,8.0,0,,0,4.5,0,40.33
cust-00106,donna wolfe,gillespiejennifer@example.org,uk,finance,paid search,free,,2021-12-30,1098,12,100.0,0.0,4,3,0,35,4.0,1,2022-09-30,0,36.6,1,19.17
cust-00107,ryan stanton,ortizallison@example.org,india,unknown,referral,basic,email,2022-08-23,862,1,2.0,35.75,10,4,1,9,4.0,0,,0,28.7,0,30.67
cust-00108,lauren ramos,bgardner@example.net,india,saas,organic,pro,,2024-01-09,358,24,10.0,90.13,9,14,0,23,7.0,0,,0,11.9,1,50.0
cust-00109,joel swanson,mlopez@example.org,us,other,referral,pro,priority,2021-12-01,1127,1,2.0,104.38,8,14,0,20,7.0,0,,0,37.6,0,48.33
cust-00110,jamie hogan,jillianwiggins@example.net,brazil,finance,referral,free,dedicated,2021-04-23,1349,12,5.0,0.0,5,8,1,10,3.0,0,,0,45.0,1,26.33
cust-00111,daniel young,tmyers@example.org,us,finance,referral,pro,dedicated,2022-02-28,1038,24,5.0,76.6,3,10,0,18,10.0,0,,0,34.6,1,40.0
cust-00112,joseph nelson,hillkathryn@example.com,us,healthcare,organic,free,priority,2021-08-24,1226,1,5.0,0.0,13,9,1,1,5.0,0,,0,40.9,0,45.17
cust-00113,matthew austin,kaitlyn51@example.org,us,unknown,referral,free,email,2024-09-19,104,12,10.0,0.0,5,14,1,12,6.0,0,,0,3.5,1,41.33
cust-00114,jeffrey poole,stephanie46@example.org,india,saas,organic,basic,priority,2024-03-25,282,24,10.0,31.65,2,8,0,36,7.0,0,,0,9.4,1,29.33
cust-00115,william harrison,millerjillian@example.com,canada,finance,organic,basic,email,2023-07-14,537,1,5.0,18.11,4,11,2,2,8.0,0,,0,17.9,0,39.17
cust-00116,joseph simmons,susan79@example.com,us,retail,social,basic,email,2024-06-26,189,24,500.0,26.35,8,10,0,16,7.0,0,,0,6.3,1,42.33
cust-00117,cynthia gomez,heatherbrown@example.com,uk,other,referral,free,email,2024-03-19,288,12,100.0,0.0,5,18,2,4,6.0,0,,0,9.6,1,47.33
cust-00118,jasmine young,coreyallen@example.net,france,healthcare,organic,pro,email,2021-09-30,1189,1,100.0,90.52,12,4,0,20,7.0,0,,0,39.6,0,40.0
cust-00119,stacey wood,tara75@example.com,us,saas,organic,basic,priority,2024-07-27,158,1,50.0,15.88,6,4,3,14,8.0,1,2024-11-03,0,5.3,0,32.0
cust-00120,ross joyce,shorttheodore@example.net,india,finance,organic,free,email,2023-02-27,674,12,2.0,0.0,10,12,1,31,7.0,0,,0,22.5,1,48.67
cust-00121,brittany nguyen,tcooke@example.com,india,retail,organic,pro,email,2024-03-24,283,24,2.0,108.18,9,18,3,14,6.0,0,,0,9.4,1,54.0
cust-00122,dawn chavez,williamskevin@example.net,germany,healthcare,organic,enterprise,dedicated,2024-08-01,153,1,2.0,360.94,9,8,0,6,9.0,0,,0,5.1,0,45.0
cust-00123,sarah snyder,john63@example.org,brazil,finance,organic,pro,,2022-04-10,997,12,500.0,78.28,3,3,0,0,8.0,0,,0,33.2,1,25.5
cust-00124,dustin gibson,mooresara@example.org,uk,other,paid search,pro,email,2021-06-10,1301,1,1.0,72.03,7,18,2,18,4.0,0,,0,43.4,0,46.67
cust-00125,john miller,davidmcgee@example.net,brazil,education,referral,pro,dedicated,2021-11-29,1129,12,5.0,65.65,5,7,1,6,5.0,0,,0,37.6,1,28.83
cust-00126,casey mayo,bakerblake@example.org,canada,finance,referral,basic,email,2022-09-16,838,12,1.0,33.74,7,1,2,13,9.0,0,,0,27.9,1,31.17
cust-00127,john vincent,shepherdjennifer@example.org,canada,finance,referral,free,email,2024-04-09,267,12,2.0,0.0,9,13,0,1,7.0,0,,0,8.9,1,48.5
cust-00128,jenny russell,palexander@example.com,us,other,organic,basic,,2024-06-10,205,12,2.0,28.29,5,3,2,26,8.0,0,,0,6.8,1,28.83
cust-00129,anthony andrews,dennisjasmine@example.org,india,retail,email,basic,email,2021-01-11,1451,24,10.0,26.62,21,3,2,6,7.0,0,,0,48.4,1,53.5
cust-00130,kristina turner,lbrown@example.org,uk,saas,social,basic,priority,2023-01-16,716,1,1.0,24.87,5,15,0,30,7.0,0,,0,23.9,0,44.83
cust-00131,troy maxwell,nroberts@example.org,us,retail,social,pro,email,2022-09-02,852,12,5.0,93.98,3,19,3,14,5.0,0,,0,28.4,1,43.5
cust-00132,zachary chapman,justinwatson@example.org,us,saas,social,basic,email,2021-11-21,1137,1,25.0,22.25,3,4,2,1,10.0,0,,0,37.9,0,31.0
cust-00133,jennifer dennis,kevin11@example.org,france,finance,email,free,,2021-06-25,1286,12,5.0,0.0,2,13,1,10,7.0,1,2024-01-06,0,42.9,1,36.83
cust-00134,joshua sampson,osharp@example.org,germany,finance,paid search,free,,2022-05-08,969,12,1.0,0.0,12,13,0,28,10.0,0,,0,32.3,1,59.5
cust-00135,veronica mcclure,jamie50@example.net,canada,finance,organic,pro,dedicated,2024-10-08,85,12,5.0,89.14,6,15,2,19,4.0,0,,0,2.8,1,40.5
cust-00136,andrew mcbride,andrew89@example.org,india,saas,referral,free,email,2022-04-17,990,12,25.0,0.0,8,19,1,6,9.0,0,,0,33.0,1,59.83
cust-00137,jean pitts,campbellamy@example.com,us,finance,referral,pro,email,2023-01-28,704,12,1.0,89.2,16,16,2,37,7.0,0,,0,23.5,1,64.67
cust-00138,thomas jacobs,jonescaitlin@example.com,australia,retail,referral,basic,,2023-10-24,435,24,25.0,26.39,15,7,2,3,8.0,0,,0,14.5,1,51.5
cust-00139,jessica nichols,lisahayes@example.org,us,finance,paid search,basic,priority,2022-06-15,931,1,25.0,44.38,7,3,2,5,4.0,0,,0,31.0,0,24.17
cust-00140,nancy walker,shawn49@example.com,india,finance,organic,basic,dedicated,2024-11-19,43,1,5.0,35.8,13,2,2,16,8.0,0,,0,1.4,0,40.67
cust-00141,nicole hughes,rachelarnold@example.com,india,retail,paid search,pro,email,2024-11-06,56,12,1.0,104.41,6,18,1,3,10.0,0,,0,1.9,1,57.0
cust-00142,mr. marc young,juliekelly@example.com,germany,saas,email,basic,,2022-01-03,1094,12,10.0,30.16,21,11,0,8,5.0,0,,0,36.5,1,61.5
cust-00143,lauren ballard,kingemily@example.org,canada,saas,referral,pro,email,2022-12-27,736,12,25.0,118.07,8,1,1,15,5.0,0,,0,24.5,1,24.83
cust-00144,brenda garcia,meverett@example.net,uk,education,paid search,basic,priority,2022-03-16,1022,24,5.0,23.93,0,16,1,12,2.0,0,,0,34.1,1,28.0
cust-00145,julie jones,cleonard@example.org,germany,other,organic,basic,email,2022-02-20,1046,12,10.0,22.3,6,17,1,2,7.0,0,,0,34.9,1,49.5
cust-00146,angela wilkins,randymolina@example.com,india,finance,paid search,pro,priority,2021-02-23,1408,24,5.0,104.71,2,16,2,11,7.0,0,,0,46.9,1,41.33
cust-00147,linda clay,katherinewright@example.org,germany,saas,social,pro,email,2023-06-09,572,12,10.0,86.74,8,10,0,10,9.0,0,,0,19.1,1,46.33
cust-00148,joann moore,preston50@example.com,uk,healthcare,referral,pro,priority,2023-01-04,728,1,5.0,103.82,1,17,1,9,5.0,0,,0,24.3,0,37.17
cust-00149,james thompson,jsaunders@example.net,germany,finance,social,pro,email,2021-03-17,1386,12,2.0,62.94,9,3,1,20,8.0,0,,0,46.2,1,35.5
cust-00150,samantha palmer,vargasjeremiah@example.org,india,education,paid search,pro,,2022-02-11,1055,24,50.0,119.89,13,18,1,2,7.0,0,,0,35.2,1,62.67
cust-00151,joshua wu,shannon11@example.com,uk,unknown,referral,pro,email,2024-08-19,135,1,25.0,109.08,7,19,0,16,5.0,0,,0,4.5,0,50.17
cust-00152,james osborne,edwardwhitaker@example.net,us,saas,organic,pro,,2021-12-16,1112,24,2.0,76.49,22,14,1,17,7.0,0,,0,37.1,1,71.67
cust-00153,richard andrews,leahsmith@example.org,canada,finance,referral,pro,dedicated,2021-07-31,1250,12,5.0,76.82,2,2,0,15,7.0,0,,0,41.7,1,20.33
cust-00154,tracie young,mike83@example.net,india,retail,paid search,pro,priority,2022-12-16,747,12,10.0,124.08,12,12,1,8,8.0,1,2024-04-27,0,24.9,1,54.0
cust-00155,james taylor,lindsay82@example.net,us,retail,paid search,pro,priority,2024-12-10,22,12,25.0,87.94,4,11,0,6,2.0,0,,0,0.7,1,27.17
cust-00156,gabriella oneal,emilymeadows@example.net,us,saas,referral,pro,email,2021-12-20,1108,12,10.0,86.49,6,17,0,6,8.0,0,,0,36.9,1,51.5
cust-00157,yolanda erickson,velezwalter@example.org,us,healthcare,email,free,,2023-09-09,480,12,5.0,0.0,4,6,2,15,4.0,0,,0,16.0,1,23.67
cust-00158,elizabeth larsen,barrettlindsay@example.com,uk,education,organic,pro,priority,2024-01-17,350,1,100.0,93.74,3,19,1,8,10.0,0,,0,11.7,0,53.5
cust-00159,mr. adrian leonard,grantsarah@example.net,germany,other,social,pro,email,2021-12-13,1115,24,25.0,95.58,14,13,1,4,9.0,0,,0,37.2,1,60.83
cust-00160,roberta banks,becky67@example.net,australia,finance,organic,free,,2023-11-30,398,12,1.0,0.0,9,7,3,11,6.0,1,2024-03-28,0,13.3,1,37.5
cust-00161,becky singh,cruzteresa@example.net,canada,healthcare,paid search,pro,email,2022-06-21,925,24,10.0,78.01,6,11,4,21,6.0,0,,0,30.8,1,38.5
cust-00162,gary davies,dakota85@example.org,france,saas,organic,free,,2023-07-13,538,12,5.0,0.0,9,7,1,0,7.0,0,,0,17.9,1,39.5
cust-00163,david kennedy,belldaniel@example.net,uk,healthcare,paid search,basic,email,2023-07-14,537,12,25.0,23.68,7,13,0,42,8.0,0,,0,17.9,1,47.17
cust-00164,bryan williamson,gravesmichael@example.org,india,retail,paid search,pro,email,2023-02-22,679,12,1.0,114.1,9,13,1,1,6.0,1,2023-04-19,0,22.6,1,46.5
